### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Tue Sep 19 07:26:42 2006
Levelengine_version 1


Background_color_1 130 200 230
Background_color_2 210 220 250

Background_image_type_1 1
Background_image_1 game/background/green_junglehills.png 1.000000 1.000000 0.000110

Player 143 97
camera_limits 0 0 20000 -4000

### Massive Objects ###
Sprite ground/green_1/ground/up.png 0 93 MASSIVE
Sprite ground/green_1/ground/up.png 59 93 MASSIVE
Sprite ground/green_1/ground/up.png 118 93 MASSIVE
Sprite ground/green_1/ground/up.png 177 93 MASSIVE
Sprite ground/green_1/ground/up.png 236 93 MASSIVE
Sprite ground/green_1/ground/up.png 295 93 MASSIVE
Sprite ground/green_1/ground/up.png 354 93 MASSIVE
Sprite ground/green_1/ground/up.png 413 93 MASSIVE
Sprite ground/green_1/ground/up.png 472 93 MASSIVE
Sprite ground/green_1/ground/up.png 1254 93 MASSIVE
Sprite ground/green_1/ground/up.png 1195 93 MASSIVE
Sprite ground/green_1/ground/up.png 1136 93 MASSIVE
Sprite ground/green_1/ground/up.png 1077 93 MASSIVE
Sprite ground/green_1/ground/up.png 1018 93 MASSIVE
Sprite ground/green_1/ground/up.png 959 93 MASSIVE
Sprite ground/green_1/ground/up.png 900 93 MASSIVE
Sprite ground/green_1/ground/up.png 841 93 MASSIVE
Sprite pipes/green/ver.png 1460 50 MASSIVE
Sprite pipes/green/ver.png 1460 100 MASSIVE
Sprite pipes/green/ver.png 1675 50 MASSIVE
Sprite pipes/green/ver.png 1675 100 MASSIVE
Sprite pipes/green/ver.png 1893 50 MASSIVE
Sprite pipes/green/ver.png 1893 100 MASSIVE
Sprite pipes/green/ver.png 1893 150 MASSIVE
Sprite pipes/green/up.png 1460 150 MASSIVE
Sprite pipes/green/up.png 1675 150 MASSIVE
Sprite pipes/green/up.png 1893 200 MASSIVE
Sprite blocks/stone/1.png 839 137 MASSIVE
Sprite blocks/stone/1.png 883 137 MASSIVE
Sprite blocks/stone/1.png 883 181 MASSIVE
Sprite blocks/stone/1.png 1202 137 MASSIVE
Sprite blocks/stone/1.png 1202 181 MASSIVE
Sprite blocks/stone/1.png 1202 225 MASSIVE
Sprite ground/green_1/ground/up.png 2175 93 MASSIVE
Sprite ground/green_1/ground/up.png 2234 93 MASSIVE
Sprite ground/green_1/ground/up.png 2293 93 MASSIVE
Sprite ground/green_1/ground/up.png 2352 93 MASSIVE
Sprite ground/green_1/ground/up.png 2411 93 MASSIVE
Sprite ground/green_1/ground/up.png 2470 93 MASSIVE
Sprite ground/green_1/ground/up.png 2529 93 MASSIVE
Sprite ground/green_1/ground/up.png 2588 93 MASSIVE
Sprite ground/green_1/ground/up.png 2647 93 MASSIVE
Sprite ground/green_1/ground/up.png 2706 93 MASSIVE
Sprite ground/green_1/ground/up.png 2765 93 MASSIVE
Sprite ground/green_1/ground/hill_left_up.png 2121 93 MASSIVE
Sprite ground/green_1/ground/hill_left.png 2121 46 MASSIVE
Sprite ground/green_1/ground/hill_right.png 2824 46 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 2824 93 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 1313 93 MASSIVE
Sprite ground/green_1/ground/hill_right.png 1313 46 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 531 93 MASSIVE
Sprite ground/green_1/ground/hill_right.png 531 46 MASSIVE
Sprite ground/green_1/ground/hill_left_up.png 787 93 MASSIVE
Sprite ground/green_1/ground/hill_left.png 787 46 MASSIVE
Sprite ground/green_1/ground/hill_left.png 4339 45 MASSIVE
Sprite ground/green_1/ground/hill_left.png 4339 91 MASSIVE
Sprite ground/green_1/ground/hill_left_up.png 4339 138 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5396 45 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5396 91 MASSIVE
Sprite blocks/stone/1.png 4618 270 MASSIVE
Sprite blocks/stone/1.png 4618 314 MASSIVE
Sprite blocks/stone/1.png 4662 314 MASSIVE
Sprite blocks/stone/1.png 4706 314 MASSIVE
Sprite blocks/stone/1.png 4750 314 MASSIVE
Sprite blocks/stone/1.png 4794 314 MASSIVE
Sprite blocks/stone/1.png 4838 314 MASSIVE
Sprite blocks/stone/1.png 4882 314 MASSIVE
Sprite blocks/stone/1.png 4882 270 MASSIVE
Sprite blocks/stone/1.png 4882 226 MASSIVE
Sprite blocks/stone/1.png 4882 182 MASSIVE
Sprite pipes/green/ver.png 4922 188 MASSIVE
Sprite pipes/green/ver.png 4922 238 MASSIVE
Sprite pipes/green/ver.png 4922 288 MASSIVE
Sprite pipes/green/ver.png 4922 338 MASSIVE
Sprite pipes/green/up.png 4922 388 MASSIVE
Sprite pipes/green/ver.png 5552 50 MASSIVE
Sprite pipes/green/ver.png 5640 50 MASSIVE
Sprite pipes/green/ver.png 5816 50 MASSIVE
Sprite pipes/green/ver.png 6080 50 MASSIVE
Sprite pipes/green/ver.png 5552 100 MASSIVE
Sprite pipes/green/ver.png 5640 100 MASSIVE
Sprite pipes/green/ver.png 5640 150 MASSIVE
Sprite pipes/green/ver.png 5816 100 MASSIVE
Sprite pipes/green/ver.png 5816 150 MASSIVE
