### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Tue Sep 19 07:41:48 2006
Levelengine_version 1


Music land/cave_2.ogg
Background_color_1 80 80 80
Background_color_2 20 20 20


Player 113 174
camera_limits 0 0 20000 -4000

### Massive Objects ###
Sprite ground/sand_1/ground/up.png 1777 4011 MASSIVE
Sprite ground/sand_1/ground/left.png 897 3681 MASSIVE
Sprite ground/sand_1/ground/right.png 1832 3461 MASSIVE
Sprite ground/sand_1/ground/right.png 1832 3241 MASSIVE
Sprite ground/sand_1/ground/right.png 5337 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4512 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 5392 934 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4072 604 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 109 MASSIVE
Sprite ground/sand_1/ground/left.png 2862 109 MASSIVE
Sprite ground/sand_1/ground/right.png 2587 219 MASSIVE
Sprite ground/sand_1/ground/up.png 0 164 MASSIVE
Sprite ground/sand_1/ground/up.png 55 164 MASSIVE
Sprite ground/sand_1/ground/up.png 110 164 MASSIVE
Sprite ground/sand_1/ground/up.png 165 164 MASSIVE
Sprite ground/sand_1/ground/up.png 220 164 MASSIVE
Sprite ground/sand_1/ground/up.png 275 164 MASSIVE
Sprite ground/sand_1/ground/up.png 330 164 MASSIVE
Sprite ground/sand_1/ground/up.png 385 164 MASSIVE
Sprite pipes/blue/right.png 56 251 MASSIVE
Sprite pipes/blue/ver.png -28 214 MASSIVE
Sprite pipes/blue/ver.png -28 264 MASSIVE
Sprite pipes/blue/ver.png -28 314 MASSIVE
Sprite pipes/blue/ver.png -28 364 MASSIVE
Sprite pipes/blue/ver.png -28 414 MASSIVE
Sprite pipes/blue/ver.png -28 464 MASSIVE
Sprite pipes/blue/ver.png -28 514 MASSIVE
Sprite pipes/blue/ver.png -28 564 MASSIVE
Sprite pipes/blue/ver.png -28 614 MASSIVE
Sprite pipes/blue/ver.png -28 664 MASSIVE
Sprite pipes/blue/ver.png -28 714 MASSIVE
Sprite pipes/blue/ver.png -28 764 MASSIVE
Sprite pipes/blue/ver.png -28 814 MASSIVE
Sprite pipes/blue/ver.png -28 864 MASSIVE
Sprite pipes/blue/ver.png -28 914 MASSIVE
Sprite pipes/blue/ver.png -28 964 MASSIVE
Sprite pipes/blue/ver.png -28 1014 MASSIVE
Sprite pipes/blue/ver.png -28 1064 MASSIVE
Sprite pipes/blue/ver.png -28 1114 MASSIVE
Sprite pipes/blue/ver.png -28 1164 MASSIVE
Sprite pipes/blue/ver.png -28 1214 MASSIVE
Sprite pipes/blue/ver.png -28 1264 MASSIVE
Sprite pipes/blue/ver.png -28 1314 MASSIVE
Sprite pipes/blue/ver.png -28 1364 MASSIVE
Sprite pipes/blue/ver.png -28 1414 MASSIVE
Sprite pipes/blue/ver.png -28 1464 MASSIVE
Sprite pipes/blue/ver.png -28 1514 MASSIVE
Sprite pipes/blue/ver.png -28 1564 MASSIVE
Sprite pipes/blue/ver.png -28 1614 MASSIVE
Sprite pipes/blue/ver.png -28 1664 MASSIVE
Sprite pipes/blue/ver.png -28 1714 MASSIVE
Sprite pipes/blue/ver.png -28 1764 MASSIVE
Sprite pipes/blue/ver.png -28 1814 MASSIVE
Sprite ground/sand_1/ground/right_up.png 770 164 MASSIVE
Sprite ground/sand_1/ground/right.png 770 109 MASSIVE
Sprite ground/sand_1/ground/right.png 770 54 MASSIVE
Sprite ground/sand_1/ground/up.png 440 164 MASSIVE
Sprite ground/sand_1/ground/up.png 495 164 MASSIVE
Sprite ground/sand_1/ground/up.png 550 164 MASSIVE
Sprite ground/sand_1/ground/up.png 605 164 MASSIVE
Sprite ground/sand_1/ground/up.png 660 164 MASSIVE
Sprite ground/sand_1/ground/up.png 715 164 MASSIVE
Sprite pipes/green/ver.png 986 49 MASSIVE
Sprite pipes/green/ver.png 1250 49 MASSIVE
Sprite pipes/green/ver.png 1514 49 MASSIVE
Sprite pipes/green/ver.png 986 99 MASSIVE
Sprite pipes/green/ver.png 986 149 MASSIVE
Sprite pipes/green/ver.png 986 199 MASSIVE
Sprite pipes/green/ver.png 1250 99 MASSIVE
Sprite pipes/green/ver.png 1250 149 MASSIVE
