### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Tue Sep 19 07:42:41 2006
Levelengine_version 1


Music land_4.ogg
Background_color_1 20 20 160
Background_color_2 60 160 255

Background_image_type_1 1
Background_image_1 game/background/green_junglehills.png 1.000000 1.000000 0.000110

Player 107 195
camera_limits 0 0 20000 -4000

### Massive Objects ###
Sprite ground/green_1/ground/middle.png 59 137 MASSIVE
Sprite ground/green_1/ground/up.png 935 184 MASSIVE
Sprite ground/green_1/ground/up.png 994 184 MASSIVE
Sprite ground/green_1/ground/up.png 1053 184 MASSIVE
Sprite ground/green_1/ground/up.png 1112 184 MASSIVE
Sprite ground/green_1/ground/right_up.png 1171 184 MASSIVE
Sprite ground/green_1/ground/right.png 1171 137 MASSIVE
Sprite ground/green_1/ground/up.png 1225 92 MASSIVE
Sprite ground/green_1/ground/right.png 1171 91 MASSIVE
Sprite ground/green_1/ground/up.png 1284 92 MASSIVE
Sprite ground/green_1/ground/up.png 1343 92 MASSIVE
Sprite ground/green_1/ground/right_up.png 1697 92 MASSIVE
Sprite ground/green_1/ground/right.png 1697 45 MASSIVE
Sprite ground/green_1/ground/right.png 1171 45 MASSIVE
Sprite ground/green_1/ground/up.png 1402 92 MASSIVE
Sprite ground/green_1/ground/up.png 1461 92 MASSIVE
Sprite ground/green_1/ground/up.png 1520 92 MASSIVE
Sprite ground/green_1/ground/up.png 1579 92 MASSIVE
Sprite ground/green_1/ground/up.png 1638 92 MASSIVE
Sprite ground/green_1/ground/up.png 876 184 MASSIVE
Sprite ground/green_1/ground/up.png 817 184 MASSIVE
Sprite ground/green_1/ground/up.png 758 184 MASSIVE
Sprite ground/green_1/ground/up.png 699 184 MASSIVE
Sprite ground/green_1/ground/up.png 640 184 MASSIVE
Sprite ground/green_1/ground/up.png 581 184 MASSIVE
Sprite ground/green_1/ground/up.png 522 184 MASSIVE
Sprite ground/green_1/ground/up.png 463 184 MASSIVE
Sprite ground/green_1/ground/up.png 404 184 MASSIVE
Sprite ground/green_1/ground/up.png 345 184 MASSIVE
Sprite ground/green_1/ground/up.png 286 184 MASSIVE
Sprite ground/green_1/ground/up.png 227 184 MASSIVE
Sprite ground/green_1/ground/up.png 168 184 MASSIVE
Sprite ground/green_1/ground/up.png 109 184 MASSIVE
Sprite ground/green_1/ground/up.png 50 184 MASSIVE
Sprite ground/green_1/ground/up.png -9 184 MASSIVE

### Passive Objects ###
Sprite ground/green_1/hedges/small_1.png 1206 135 PASSIVE
Sprite ground/green_1/hedges/big_1.png 1459 249 PASSIVE
Sprite ground/green_1/hedges/medium_1.png 403 228 PASSIVE
Sprite ground/green_1/hedges/big_1.png 240 341 PASSIVE
Sprite ground/green_1/ground/middle.png 0 45 PASSIVE
Sprite ground/green_1/ground/middle.png 59 45 PASSIVE
Sprite ground/green_1/ground/middle.png 118 45 PASSIVE
Sprite ground/green_1/ground/middle.png 177 45 PASSIVE
Sprite ground/green_1/ground/middle.png 236 45 PASSIVE
Sprite ground/green_1/ground/middle.png 295 45 PASSIVE
Sprite ground/green_1/ground/middle.png 354 45 PASSIVE
Sprite ground/green_1/ground/middle.png 413 45 PASSIVE
Sprite ground/green_1/ground/middle.png 472 45 PASSIVE
Sprite ground/green_1/ground/middle.png 531 45 PASSIVE
Sprite ground/green_1/ground/middle.png 590 45 PASSIVE
Sprite ground/green_1/ground/middle.png 0 137 PASSIVE
Sprite ground/green_1/ground/middle.png 118 137 PASSIVE
Sprite ground/green_1/ground/middle.png 177 137 PASSIVE
Sprite ground/green_1/ground/middle.png 236 137 PASSIVE
Sprite ground/green_1/ground/middle.png 295 137 PASSIVE
Sprite ground/green_1/ground/middle.png 354 137 PASSIVE
Sprite ground/green_1/ground/middle.png 413 137 PASSIVE
Sprite ground/green_1/ground/middle.png 472 137 PASSIVE
Sprite ground/green_1/ground/middle.png 531 137 PASSIVE
Sprite ground/green_1/ground/middle.png 590 137 PASSIVE
Sprite ground/green_1/ground/middle.png 590 91 PASSIVE
Sprite ground/green_1/ground/middle.png 531 91 PASSIVE
Sprite ground/green_1/ground/middle.png 472 91 PASSIVE
Sprite ground/green_1/ground/middle.png 413 91 PASSIVE
Sprite ground/green_1/ground/middle.png 354 91 PASSIVE
Sprite ground/green_1/ground/middle.png 295 91 PASSIVE
Sprite ground/green_1/ground/middle.png 236 91 PASSIVE
Sprite ground/green_1/ground/middle.png 177 91 PASSIVE
Sprite ground/green_1/ground/middle.png 118 91 PASSIVE
Sprite ground/green_1/ground/middle.png 59 91 PASSIVE
Sprite ground/green_1/ground/middle.png 649 137 PASSIVE
Sprite ground/green_1/ground/middle.png 649 91 PASSIVE
Sprite ground/green_1/ground/middle.png 649 45 PASSIVE
Sprite ground/green_1/ground/middle.png 935 45 PASSIVE
Sprite ground/green_1/ground/middle.png 935 91 PASSIVE
Sprite ground/green_1/ground/middle.png 935 137 PASSIVE
Sprite ground/green_1/ground/middle.png 0 91 PASSIVE
Sprite ground/green_1/ground/middle.png 994 137 PASSIVE
Sprite ground/green_1/ground/middle.png 1053 137 PASSIVE
Sprite ground/green_1/ground/middle.png 1112 137 PASSIVE
Sprite ground/green_1/ground/middle.png 994 91 PASSIVE
Sprite ground/green_1/ground/middle.png 1053 91 PASSIVE
Sprite ground/green_1/ground/middle.png 1112 91 PASSIVE
Sprite ground/green_1/ground/middle.png 994 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1053 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1112 45 PASSIVE
Sprite ground/green_1/ground/middle.png 876 137 PASSIVE
Sprite ground/green_1/ground/middle.png 817 137 PASSIVE
Sprite ground/green_1/ground/middle.png 758 137 PASSIVE
Sprite ground/green_1/ground/middle.png 699 137 PASSIVE
Sprite ground/green_1/ground/middle.png 699 91 PASSIVE
Sprite ground/green_1/ground/middle.png 699 45 PASSIVE
Sprite ground/green_1/ground/middle.png 758 45 PASSIVE
Sprite ground/green_1/ground/middle.png 817 45 PASSIVE
Sprite ground/green_1/ground/middle.png 876 45 PASSIVE
Sprite ground/green_1/ground/middle.png 876 91 PASSIVE
Sprite ground/green_1/ground/middle.png 817 91 PASSIVE
Sprite ground/green_1/ground/middle.png 758 91 PASSIVE
Sprite ground/green_1/ground/middle.png 1638 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1579 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1520 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1461 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1402 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1343 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1284 45 PASSIVE
Sprite ground/green_1/ground/middle.png 1225 45 PASSIVE
Sprite game/level/door_yellow_1.png 1621 191 PASSIVE
Sprite signs/default_1/1_ending.png 1148 248 PASSIVE
Sprite clouds/cloudy_1/middle.png 131 555 PASSIVE
Sprite clouds/cloudy_1/middle.png 632 522 PASSIVE
Sprite clouds/cloudy_1/middle.png 901 462 PASSIVE
Sprite clouds/cloudy_1/middle.png 1318 559 PASSIVE
Sprite clouds/cloudy_1/middle.png 1648 516 PASSIVE
Sprite clouds/cloudy_1/middle.png 1932 535 PASSIVE
Sprite clouds/cloudy_1/middle.png 2142 382 PASSIVE
Sprite ground/green_1/hedges/small_1.png 19 227 PASSIVE
Sprite ground/green_1/hedges/small_1.png 153 227 PASSIVE
Sprite ground/green_1/hedges/small_1.png 555 227 PASSIVE
Sprite ground/green_1/hedges/small_1.png 689 227 PASSIVE
Sprite ground/green_1/hedges/small_1.png 1091 227 PASSIVE
Sprite ground/green_1/hedges/medium_2.png 53 225 PASSIVE
Sprite ground/green_1/hedges/small_2.png 625 198 PASSIVE
Sprite ground/green_1/hedges/medium_2.png 779 227 PASSIVE
Sprite ground/green_1/hedges/medium_2.png 1297 135 PASSIVE

### Enemy Objects ###
Enemy GOOMBA 911 230 7 0
Enemy GOOMBA 997 230 7 0
Enemy GOOMBA 1385 139 7 0
Enemy GOOMBA 1455 137 7 0

### Active Objects ###
EnemyStopper 1220 199
GoldBox 217 388 4 1
GoldBox 261 388 4 1
GoldBox 305 388 4 1
Levelexit 1636 133 0 
EnemyStopper 1753 109
GoldBox 1697 280 2 1
