### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Wed Oct 25 18:25:19 2006
Levelengine_version 1

version 0.1a

Background_color_1 255 255 255
Background_color_2 50 90 200

Background_image_type_1 1
Background_image_1 game/background/green_junglehills.png 1.000000 1.000000 0.000110

Player 490 255
camera_limits 0 0 20000 -4000

### Massive Objects ###
Sprite ground/green_1/ground/up.png 11334 451 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 27 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 118 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 73 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 164 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 255 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 210 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 301 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 392 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 347 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 438 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 529 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 484 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 575 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 666 MASSIVE
Sprite ground/green_1/ground/hill_right.png 396 621 MASSIVE
Sprite ground/green_1/ground/left.png 449 73 MASSIVE
Sprite ground/green_1/ground/left.png 449 27 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 886 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 841 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 932 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 1022 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 977 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 1068 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 1159 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 1114 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 522 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 477 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 568 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 658 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 614 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 704 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 795 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 750 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 157 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 112 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 203 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 294 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 249 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 340 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 431 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 386 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 -26 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 -71 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 20 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 66 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 1251 MASSIVE
Sprite ground/green_1/ground/hill_right.png 108 1205 MASSIVE
Sprite ground/green_1/ground/right.png 1265 165 MASSIVE
Sprite ground/green_1/ground/right.png 1265 119 MASSIVE
Sprite ground/green_1/ground/right.png 1265 73 MASSIVE
Sprite ground/green_1/ground/right.png 1265 27 MASSIVE
Sprite ground/green_1/ground/left.png 1510 166 MASSIVE
Sprite ground/green_1/ground/left.png 1510 120 MASSIVE
Sprite ground/green_1/ground/left.png 1510 74 MASSIVE
Sprite ground/green_1/ground/left.png 1510 28 MASSIVE
Sprite game/box/brown1_1.png 2171 603 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 396 713 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 108 1298 MASSIVE
Sprite ground/green_1/ground/right_up.png 1265 212 MASSIVE
Sprite ground/green_1/ground/left_up.png 1510 213 MASSIVE
Sprite pipes/green/up.png 3084 196 MASSIVE
Sprite pipes/green/ver.png 3084 146 MASSIVE
Sprite ground/green_1/ground/right.png 3035 90 MASSIVE
Sprite ground/green_1/ground/right_up.png 3035 137 MASSIVE
Sprite ground/green_1/ground/right.png 3035 44 MASSIVE
Sprite pipes/green/ver.png 3084 96 MASSIVE
Sprite pipes/green/ver.png 3084 46 MASSIVE
Sprite ground/green_1/ground/left.png 3248 176 MASSIVE
Sprite ground/green_1/ground/left.png 3248 130 MASSIVE
Sprite ground/green_1/ground/left.png 3248 84 MASSIVE
Sprite ground/green_1/ground/left.png 3248 38 MASSIVE
Sprite ground/green_1/ground/left_up.png 3248 223 MASSIVE
Sprite pipes/green/up.png 3165 292 MASSIVE
Sprite pipes/green/ver.png 3165 242 MASSIVE
Sprite pipes/green/ver.png 3165 192 MASSIVE
Sprite pipes/green/ver.png 3165 142 MASSIVE
Sprite pipes/green/ver.png 3165 92 MASSIVE
Sprite pipes/green/ver.png 3165 42 MASSIVE
Sprite blocks/stone/1.png 4053 847 MASSIVE
Sprite blocks/stone/1.png 4268 847 MASSIVE
Sprite ground/green_1/ground/left.png 4591 251 MASSIVE
Sprite ground/green_1/ground/left.png 4591 205 MASSIVE
Sprite ground/green_1/ground/left.png 4591 159 MASSIVE
Sprite ground/green_1/ground/left.png 4591 113 MASSIVE
Sprite ground/green_1/ground/left_up.png 4591 298 MASSIVE
Sprite ground/green_1/ground/right.png 4537 130 MASSIVE
Sprite ground/green_1/ground/right_up.png 4537 177 MASSIVE
Sprite ground/green_1/ground/right.png 4537 84 MASSIVE
Sprite ground/green_1/ground/right.png 4537 38 MASSIVE
Sprite ground/green_1/ground/left.png 4591 67 MASSIVE
Sprite ground/green_1/ground/left.png 4591 21 MASSIVE
Sprite ground/green_1/ground/right.png 5173 251 MASSIVE
Sprite ground/green_1/ground/right_up.png 5173 298 MASSIVE
Sprite ground/green_1/ground/right.png 5173 205 MASSIVE
Sprite ground/green_1/ground/right.png 5173 159 MASSIVE
Sprite ground/green_1/ground/right.png 5173 113 MASSIVE
Sprite ground/green_1/ground/right.png 5173 67 MASSIVE
Sprite ground/green_1/ground/right.png 5173 21 MASSIVE
Sprite ground/green_1/ground/left.png 5309 250 MASSIVE
Sprite ground/green_1/ground/left.png 5309 204 MASSIVE
Sprite ground/green_1/ground/left.png 5309 158 MASSIVE
Sprite ground/green_1/ground/left.png 5309 112 MASSIVE
Sprite ground/green_1/ground/left_up.png 5309 297 MASSIVE
Sprite ground/green_1/ground/left.png 5309 66 MASSIVE
Sprite ground/green_1/ground/left.png 5309 20 MASSIVE
Sprite blocks/stone/1.png 6820 483 MASSIVE
Sprite blocks/stone/1.png 7357 483 MASSIVE
Sprite ground/green_1/ground/right.png 8545 19 MASSIVE
Sprite ground/green_1/ground/left.png 8738 219 MASSIVE
Sprite ground/green_1/ground/left.png 8738 173 MASSIVE
Sprite ground/green_1/ground/left.png 8738 127 MASSIVE
Sprite ground/green_1/ground/left_up.png 8738 266 MASSIVE
Sprite ground/green_1/ground/left.png 8738 81 MASSIVE
Sprite ground/green_1/ground/left.png 8738 35 MASSIVE
Sprite game/box/brown1_1.png 7748 334 MASSIVE
Sprite game/box/brown1_1.png 7790 334 MASSIVE
Sprite game/box/brown1_1.png 7961 334 MASSIVE
Sprite game/box/brown1_1.png 8089 334 MASSIVE
Sprite blocks/stone/1.png 5310 340 MASSIVE
Sprite blocks/stone/1.png 5611 340 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5600 250 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 5600 297 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5600 204 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5600 158 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5600 112 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5600 66 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5600 20 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3480 176 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 3480 223 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3480 130 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3480 84 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3480 39 MASSIVE
Sprite ground/green_1/ground/hill_right.png 1742 75 MASSIVE
Sprite ground/green_1/ground/hill_right.png 1742 166 MASSIVE
Sprite ground/green_1/ground/hill_right.png 1742 121 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 1742 213 MASSIVE
Sprite ground/green_1/ground/hill_right.png 1742 29 MASSIVE
Sprite ground/green_1/ground/hill_left.png 1034 165 MASSIVE
Sprite ground/green_1/ground/hill_left_up.png 1034 212 MASSIVE
Sprite ground/green_1/ground/hill_left.png 1034 119 MASSIVE
Sprite ground/green_1/ground/hill_left.png 1034 73 MASSIVE
Sprite ground/green_1/ground/hill_left.png 1034 28 MASSIVE
Sprite pipes/blue/up.png 9078 381 MASSIVE
Sprite pipes/blue/ver.png 9078 331 MASSIVE
Sprite pipes/blue/ver.png 9078 282 MASSIVE
Sprite pipes/blue/ver.png 9078 232 MASSIVE
Sprite pipes/blue/ver.png 9078 183 MASSIVE
Sprite pipes/blue/ver.png 9078 133 MASSIVE
Sprite pipes/blue/ver.png 9078 84 MASSIVE
Sprite pipes/blue/ver.png 9078 34 MASSIVE
Sprite ground/green_1/ground/right.png 9029 219 MASSIVE
