### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Wed Oct 25 20:28:41 2006
Levelengine_version 1

version 0.1a

Music land/cave_1.ogg
Background_color_1 164 164 164
Background_color_2 32 32 32


Player 156 413
camera_limits 0 0 9830 -4000

### Massive Objects ###
Sprite pipes/green/down.png 8228 802 MASSIVE
Sprite pipes/green/ver.png 8228 852 MASSIVE
Sprite pipes/green/ver.png 8228 901 MASSIVE
Sprite pipes/green/left.png 4785 500 MASSIVE
Sprite pipes/green/hor.png 4835 500 MASSIVE
Sprite pipes/green/ver.png 977 643 MASSIVE
Sprite pipes/green/ver.png 977 593 MASSIVE
Sprite pipes/green/down.png 977 543 MASSIVE
Sprite pipes/grey/ver.png 145 642 MASSIVE
Sprite pipes/grey/ver.png 145 592 MASSIVE
Sprite pipes/grey/down.png 145 542 MASSIVE
Sprite ground/underground/ground/bottom/right.png 62 573 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png -2 573 MASSIVE
Sprite ground/underground/ground/middle/right.png -2 509 MASSIVE
Sprite ground/underground/ground/middle/right.png -2 445 MASSIVE
Sprite ground/underground/ground/middle/right.png -2 381 MASSIVE
Sprite ground/underground/ground/middle/right.png -2 317 MASSIVE
Sprite ground/underground/ground/middle/right.png -2 253 MASSIVE
Sprite ground/underground/ground/middle/right.png -2 189 MASSIVE
Sprite ground/underground/ground/middle/right_top.png -2 125 MASSIVE
Sprite ground/underground/ground/middle/1.png -2 637 MASSIVE
Sprite ground/underground/ground/top/1.png 62 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 62 61 MASSIVE
Sprite ground/underground/ground/middle/1.png -2 61 MASSIVE
Sprite ground/underground/ground/top/1.png 126 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 126 61 MASSIVE
Sprite ground/underground/ground/top/1.png 190 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 190 61 MASSIVE
Sprite ground/underground/ground/top/1.png 254 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 254 61 MASSIVE
Sprite ground/underground/ground/top/1.png 318 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 318 61 MASSIVE
Sprite ground/underground/ground/top/1.png 382 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 382 61 MASSIVE
Sprite ground/underground/ground/top/1.png 446 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 446 61 MASSIVE
Sprite ground/underground/ground/middle/right.png 62 637 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png 62 701 MASSIVE
Sprite ground/underground/ground/bottom/1.png 126 701 MASSIVE
Sprite ground/underground/ground/bottom/1.png 190 701 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 254 701 MASSIVE
Sprite ground/underground/ground/middle/left.png 254 637 MASSIVE
Sprite ground/underground/ground/bottom/left.png 254 573 MASSIVE
Sprite ground/underground/ground/middle/1.png -2 701 MASSIVE
Sprite ground/underground/ground/middle/1.png -2 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 62 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 126 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 190 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 254 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 318 765 MASSIVE
Sprite ground/underground/ground/middle/1.png -2 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 62 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 126 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 190 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 254 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 318 829 MASSIVE
Sprite ground/underground/ground/middle/1.png -2 893 MASSIVE
Sprite ground/underground/ground/middle/1.png 62 893 MASSIVE
Sprite ground/underground/ground/middle/1.png 126 893 MASSIVE
Sprite ground/underground/ground/middle/1.png 190 893 MASSIVE
Sprite ground/underground/ground/middle/1.png 254 893 MASSIVE
Sprite ground/underground/ground/middle/1.png 318 893 MASSIVE
Sprite ground/underground/ground/middle/1.png 318 637 MASSIVE
Sprite ground/underground/ground/middle/1.png 318 701 MASSIVE
Sprite ground/underground/ground/bottom/1.png 318 573 MASSIVE
Sprite ground/underground/ground/bottom/1.png 382 573 MASSIVE
